12:04, Wednesday, June 10, 2015
Study name: Static 2
Units :N/m^2
Selected reference : Front Plane
Node  ,SX  ,SY  ,SZ  ,TXY  ,TXZ  ,TYZ
103  ,-4.69901e+002  ,-2.23512e+000  ,5.65198e+002  ,7.86140e+001  ,-4.34445e+000  ,2.72967e+000
104  ,-4.49641e+002  ,-5.17509e+000  ,5.25042e+002  ,5.91872e+001  ,-1.38036e+002  ,4.36840e+000
105  ,-4.06536e+002  ,-1.30926e+000  ,4.18010e+002  ,4.31334e+001  ,-2.95845e+002  ,-3.11664e+000
106  ,-3.50114e+002  ,1.26873e+001  ,2.35439e+002  ,2.66744e+001  ,-4.54597e+002  ,-1.94352e-001
107  ,-3.61576e+002  ,-1.67953e+001  ,6.72538e+001  ,3.74634e+001  ,-5.23968e+002  ,-2.85761e+000
108  ,-1.91498e+003  ,7.59825e+000  ,2.55429e+001  ,7.02638e+000  ,5.93431e+002  ,4.31510e+000
109  ,-1.92130e+003  ,-1.04407e+001  ,9.53497e+001  ,3.85973e+001  ,5.16169e+002  ,5.54047e+000
110  ,-1.98247e+003  ,-7.30373e+000  ,1.66852e+002  ,5.00568e+001  ,3.57384e+002  ,-5.03245e-001
111  ,-1.98814e+003  ,-1.12785e+001  ,2.01233e+002  ,2.51759e+001  ,1.63418e+002  ,-1.53814e+000
112  ,-1.99464e+003  ,-5.69856e-001  ,2.33017e+002  ,6.69001e+001  ,8.16047e+000  ,1.28193e+000
113  ,-1.98018e+003  ,9.06272e+000  ,2.17906e+002  ,6.52164e+001  ,-1.69694e+002  ,-2.68000e+000
114  ,-1.96485e+003  ,6.40836e+000  ,1.58384e+002  ,4.33562e+001  ,-3.54015e+002  ,3.72962e+000
115  ,-1.93735e+003  ,-1.17004e+000  ,9.08404e+001  ,1.60422e+001  ,-5.35208e+002  ,3.73814e+000
116  ,-1.90047e+003  ,-4.71139e-001  ,2.09489e+001  ,5.40603e+001  ,-5.81984e+002  ,-3.24227e+000
117  ,-3.39947e+003  ,-2.61090e+000  ,1.10911e+001  ,2.81345e+001  ,6.14888e+002  ,2.30225e+000
118  ,-3.42659e+003  ,9.42866e+000  ,8.84280e+000  ,3.50675e+001  ,5.57354e+002  ,1.63866e+000
119  ,-3.45346e+003  ,4.22604e+000  ,-3.14584e+001  ,2.78756e+001  ,3.62573e+002  ,-6.67402e+000
120  ,-3.51348e+003  ,2.52506e+001  ,-5.00837e+001  ,5.91112e+000  ,1.68859e+002  ,-2.42735e+000
121  ,-3.50734e+003  ,8.58974e-001  ,-7.42538e+001  ,3.86914e+001  ,5.08305e+000  ,3.27203e+000
122  ,-3.46872e+003  ,-2.55024e+000  ,-6.20048e+001  ,2.92988e+001  ,-1.81455e+002  ,2.31132e+000
123  ,-3.45402e+003  ,6.42814e+000  ,-3.48084e+001  ,3.81031e+001  ,-3.66447e+002  ,1.70597e+000
124  ,-3.45406e+003  ,-8.44292e+000  ,3.88450e+000  ,2.66527e+001  ,-5.48218e+002  ,7.82221e-001
125  ,-3.39434e+003  ,1.31949e+001  ,1.24504e+000  ,-8.52717e-001  ,-6.21100e+002  ,1.64989e+000
126  ,-4.91752e+003  ,9.33218e+001  ,8.21799e+001  ,2.49006e+001  ,6.14490e+002  ,4.14192e+000
127  ,-4.95506e+003  ,1.08918e+002  ,-5.15075e+001  ,-6.04288e+000  ,5.02485e+002  ,1.44692e+000
128  ,-4.95292e+003  ,4.67282e+001  ,-2.19286e+002  ,6.35412e+000  ,3.25791e+002  ,-8.26065e+000
129  ,-4.89634e+003  ,2.95970e+001  ,-3.12252e+002  ,-4.60460e+000  ,1.57646e+002  ,7.20916e-001
130  ,-4.92535e+003  ,3.44997e+001  ,-3.54780e+002  ,-6.96957e+000  ,5.95542e+000  ,-9.25537e-002
131  ,-4.96043e+003  ,4.30420e+001  ,-3.37752e+002  ,-3.13918e+001  ,-1.56923e+002  ,-5.82749e+000
132  ,-4.98291e+003  ,4.35105e+001  ,-2.40304e+002  ,6.10403e+000  ,-3.27879e+002  ,9.68431e+000
133  ,-4.98160e+003  ,8.97592e+001  ,-9.25691e+001  ,2.15602e+001  ,-5.14403e+002  ,1.81528e+001
134  ,-4.84210e+003  ,4.07375e+001  ,6.12490e+001  ,-2.43346e+001  ,-6.33636e+002  ,5.80302e-001
135  ,-6.86731e+003  ,4.97476e+002  ,2.47082e+002  ,6.43560e+001  ,5.39772e+002  ,-7.07723e+000
136  ,-7.26257e+003  ,6.95919e+002  ,-1.91935e+002  ,1.16526e+002  ,3.74895e+002  ,-2.57379e+001
137  ,-6.86813e+003  ,3.87686e+002  ,-5.36549e+002  ,3.68800e+001  ,2.12066e+002  ,2.33272e+000
138  ,-6.70622e+003  ,2.76026e+002  ,-6.79158e+002  ,-4.04618e+001  ,9.97533e+001  ,-1.87109e+001
139  ,-6.68022e+003  ,3.98763e+002  ,-6.62111e+002  ,-8.07091e+001  ,-2.35543e+001  ,1.54277e+001
140  ,-6.43047e+003  ,4.41166e+002  ,-5.70774e+002  ,-2.08499e+002  ,-1.22039e+002  ,2.08860e+001
141  ,-6.74692e+003  ,6.69891e+002  ,-3.40997e+002  ,-1.85161e+002  ,-2.12876e+002  ,-1.71189e+001
142  ,-7.19750e+003  ,5.26810e+002  ,-2.72447e+002  ,1.49214e+002  ,-3.64229e+002  ,-2.95858e+000
143  ,-6.81945e+003  ,3.88643e+002  ,2.59689e+002  ,-4.10196e+001  ,-5.40173e+002  ,-1.67422e+001
144  ,-7.48345e+003  ,-4.21745e+003  ,-9.91861e+002  ,-3.03840e+003  ,-5.55032e+002  ,-5.68578e+002
145  ,-9.31811e+003  ,-4.92366e+003  ,-2.48653e+003  ,-2.95560e+003  ,-8.45336e+001  ,-2.19869e+002
146  ,-9.24747e+003  ,-4.84051e+003  ,-3.24432e+003  ,-3.09265e+003  ,-4.50495e+001  ,-1.27727e+002
147  ,-8.35402e+003  ,-4.47368e+003  ,-2.94914e+003  ,-2.82928e+003  ,7.60361e+001  ,-5.58167e+001
148  ,-8.69349e+003  ,-4.68300e+003  ,-3.36447e+003  ,-2.93863e+003  ,2.03751e+001  ,1.82290e+000
149  ,-8.57626e+003  ,-5.00683e+003  ,-3.37271e+003  ,-3.04083e+003  ,9.32295e+000  ,3.47999e+001
150  ,-8.56146e+003  ,-4.73678e+003  ,-3.30080e+003  ,-2.80094e+003  ,-1.90994e+001  ,-3.27246e+001
151  ,-8.65553e+003  ,-4.67413e+003  ,-3.19362e+003  ,-2.85994e+003  ,-6.77523e+001  ,1.58066e+001
152  ,-9.02709e+003  ,-5.26682e+003  ,-3.33552e+003  ,-3.17531e+003  ,1.56942e+001  ,1.47297e+002
153  ,-8.66723e+003  ,-5.16451e+003  ,-2.39122e+003  ,-2.96827e+003  ,1.94877e+002  ,2.99765e+002
